FInicio|Factualización|paisId|nombrePais|paisActivo
6/11/2020|6/11/2020|PAN|PANAMÁ|true
6/11/2020|6/11/2020|PCN|ISLAS PITCAIRN|true
6/11/2020|6/11/2020|PER|PERÚ|true
6/11/2020|6/11/2020|PHL|FILIPINAS|true
6/11/2020|6/11/2020|PLW|PALAOS|true
6/11/2020|6/11/2020|PNG|PAPÚA NUEVA GUINEA|true
6/11/2020|6/11/2020|POL|POLONIA|true
6/11/2020|6/11/2020|PRI|PUERTO RICO|true
6/11/2020|6/11/2020|PRK|COREA DEL NORTE|true
6/11/2020|6/11/2020|PRT|PORTUGAL|true
6/11/2020|6/11/2020|PRY|PARAGUAY|true
6/11/2020|6/11/2020|PSE|TERRITORIOS PALESTINOS|true
6/11/2020|6/11/2020|PYF|POLINESIA FRANCESA|true
6/11/2020|6/11/2020|QAT|CATAR|true
6/11/2020|6/11/2020|REU|REUNIÓN|true
6/11/2020|6/11/2020|ROU|RUMANÍA|true
6/11/2020|6/11/2020|RUS|RUSIA|true
6/11/2020|6/11/2020|RWA|RUANDA|true
6/11/2020|6/11/2020|SAU|ARABIA SAUDITA|true
6/11/2020|6/11/2020|SCG|SERBIA Y MONTENEGRO|true
6/11/2020|6/11/2020|SDN|SUDÁN|true
6/11/2020|6/11/2020|SEN|SENEGAL|true
6/11/2020|6/11/2020|SGP|SINGAPUR|true
6/11/2020|6/11/2020|SGS|ISLAS GEORGIA DEL SUR Y SANDWICH DEL SUR|true
6/11/2020|6/11/2020|SHN|SANTA ELENA|true
6/11/2020|6/11/2020|SJM|ISLAS SVALBARD Y JAN MAYEN|true
6/11/2020|6/11/2020|SLB|ISLAS SALOMÓN|true
6/11/2020|6/11/2020|SLE|SIERRA LEONA|true
6/11/2020|6/11/2020|SLV|EL SALVADOR|true
6/11/2020|6/11/2020|SMR|SAN MARINO|true
6/11/2020|6/11/2020|SOM|SOMALIA|true
6/11/2020|6/11/2020|SPM|SAN PEDRO Y MIGUELÓN|true
6/11/2020|6/11/2020|SRB|SERBIA|true
6/11/2020|6/11/2020|SSD|SUDÁN DEL SUR|true
6/11/2020|6/11/2020|STP|SANTO TOMÉ Y PRÍNCIPE|true
6/11/2020|6/11/2020|SUR|SURINAM|true
6/11/2020|6/11/2020|SVK|ESLOVAQUIA|true
6/11/2020|6/11/2020|SVN|ESLOVENIA|true
6/11/2020|6/11/2020|SWE|SUECIA|true
6/11/2020|6/11/2020|SWZ|SUAZILANDIA|true
6/11/2020|6/11/2020|SXM|SAN MARTÍN|true
6/11/2020|6/11/2020|SYC|SEYCHELLES|true
6/11/2020|6/11/2020|SYR|SIRIA|true
6/11/2020|6/11/2020|TCA|ISLAS TURCOS Y CAICOS|true
6/11/2020|6/11/2020|TCD|CHAD|true
6/11/2020|6/11/2020|TGO|REPÚBLICA TOGOLESA|true
6/11/2020|6/11/2020|THA|TAILANDIA|true
6/11/2020|6/11/2020|TJK|TAYIKISTÁN|true
6/11/2020|6/11/2020|TKL|ISLAS TOKELAU|true
6/11/2020|6/11/2020|TKM|TURKMENISTÁN|true
6/11/2020|6/11/2020|TLS|TIMOR ORIENTAL|true
6/11/2020|6/11/2020|TON|TONGA|true
6/11/2020|6/11/2020|TTO|TRINIDAD Y TOBAGO|true
6/11/2020|6/11/2020|TUN|TÚNEZ|true
6/11/2020|6/11/2020|TUR|TURQUÍA|true
6/11/2020|6/11/2020|TUV|TUVALU|true
6/11/2020|6/11/2020|TWN|TAIWÁN|true
6/11/2020|6/11/2020|TZA|TANZANIA|true
6/11/2020|6/11/2020|UGA|UGANDA|true
6/11/2020|6/11/2020|UKR|UCRANIA|true
6/11/2020|6/11/2020|UMI|ISLAS MENORES ALEJADAS DE LOS ESTADOS UNIDOS|true
6/11/2020|6/11/2020|URY|URUGUAY|true
6/11/2020|6/11/2020|USA|ESTADOS UNIDOS (USA)|true
6/11/2020|6/11/2020|UZB|UZBEKISTÁN|true
6/11/2020|6/11/2020|VAT|VATICANO|true
6/11/2020|6/11/2020|VCT|SAN VICENTE Y LAS GRANADINAS|true
6/11/2020|6/11/2020|VEN|VENEZUELA|true
6/11/2020|6/11/2020|VGB|ISLAS VÍRGENES BRITÁNICAS|true
6/11/2020|6/11/2020|VIR|ISLAS VÍRGENES DE LOS EE.UU.|true
6/11/2020|6/11/2020|VNM|VIETNAM|true
6/11/2020|6/11/2020|VUT|VANUATU|true
6/11/2020|6/11/2020|WLF|WALLIS Y FUTUNA|true
6/11/2020|6/11/2020|WSM|SAMOA OCCIDENTAL|true
6/11/2020|6/11/2020|XKX|KOSOVO|true
6/11/2020|6/11/2020|YEM|YEMEN|true
6/11/2020|6/11/2020|ZAF|SUDÁFRICA|true
6/11/2020|6/11/2020|ZMB|ZAMBIA|true
6/11/2020|6/11/2020|ZWE|ZIMBABUE|true
